pair_id,run_seed,pair_seed,reference,search,style,modality,true_center_x,true_center_y,pred_x,pred_y,error_px,time_s,rotation_deg,scale_jitter,pv_amplitude,on_mat_boundary
0,42,4200126,pair000_reference.png,pair000_search.png,dram,sem,505.65,320.72,505.67,320.78,0.0632,1.8445,0.415,0.9748,0.1637,1
1,42,4200127,pair001_reference.png,pair001_search.png,finfet,sem,660.12,744.28,660.24,744.22,0.1342,1.7342,1.418,0.9756,0.2215,0
2,42,4200128,pair002_reference.png,pair002_search.png,dram,sem,771.87,777.97,771.77,777.99,0.102,1.7504,-1.143,1.0239,0.24,1
3,42,4200129,pair003_reference.png,pair003_search.png,finfet,sem,442.79,474.68,443.14,474.06,0.712,1.7565,0.091,0.9965,0.1503,1
4,42,4200130,pair004_reference.png,pair004_search.png,dram,sem,430.66,207.81,430.81,207.85,0.1552,1.725,-1.094,1.0054,0.0697,1
5,42,4200131,pair005_reference.png,pair005_search.png,finfet,sem,210.89,268.05,210.98,268.01,0.0985,1.9039,1.316,1.0183,0.1132,0
6,42,4200132,pair006_reference.png,pair006_search.png,dram,sem,646.29,487.0,646.2,486.97,0.0949,2.0456,1.012,1.0156,0.0206,0
7,42,4200133,pair007_reference.png,pair007_search.png,finfet,sem,684.25,441.11,684.08,441.1,0.1703,1.7445,0.016,1.0166,0.1057,1
8,42,4200134,pair008_reference.png,pair008_search.png,dram,sem,510.95,509.64,511.02,509.72,0.1063,1.7252,-0.932,1.0094,0.027,1
9,42,4200135,pair009_reference.png,pair009_search.png,finfet,sem,518.43,319.49,518.34,319.67,0.2012,1.9439,-1.498,1.0151,0.2557,0
10,42,4200136,pair010_reference.png,pair010_search.png,dram,sem,448.91,211.66,448.92,211.7,0.0412,1.8128,0.566,0.9973,0.1582,1
11,42,4200137,pair011_reference.png,pair011_search.png,finfet,sem,304.74,782.18,304.61,782.24,0.1432,1.8849,-0.752,0.9873,0.253,0
12,42,4200138,pair012_reference.png,pair012_search.png,dram,sem,457.79,235.98,457.86,236.0,0.0728,1.7337,-0.993,0.9795,0.2436,0
13,42,4200139,pair013_reference.png,pair013_search.png,finfet,sem,664.19,233.63,664.07,233.12,0.5239,1.7196,-1.032,1.0015,0.2559,0
14,42,4200140,pair014_reference.png,pair014_search.png,dram,sem,478.77,223.11,478.99,220.27,2.8485,1.7424,0.048,0.9708,0.158,1
15,42,4200141,pair015_reference.png,pair015_search.png,finfet,sem,510.4,295.67,510.3,295.7,0.1044,1.7587,1.297,1.0015,0.236,1
16,42,4200142,pair016_reference.png,pair016_search.png,dram,sem,755.57,283.19,755.64,283.16,0.0762,2.2527,-0.753,0.9828,0.1297,0
17,42,4200143,pair017_reference.png,pair017_search.png,finfet,sem,228.24,212.83,228.27,212.76,0.0762,2.0763,-0.722,0.999,0.0948,0
18,42,4200144,pair018_reference.png,pair018_search.png,dram,sem,659.08,314.36,659.01,314.37,0.0707,1.9401,0.247,0.9977,0.1016,0
19,42,4200145,pair019_reference.png,pair019_search.png,finfet,sem,309.91,384.53,309.95,384.54,0.0412,1.9249,-0.597,1.027,0.2671,0
